Kennziffer;Raumeinheit;Aggregat;Geborene;Geborene;Geborene;Geborene;Geborene;Geborene;Geborene;Geborene;Geborene;Geborene;Geborene;Geborene;Geborene;Geborene;Geborene;Geborene;Geborene;Geborene;Geborene;Geborene;Geborene
;;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
"09271";"Deggendorf";"Kreisregionen";"8,68";"8,92";"8,38";"8,25";"7,85";"7,44";"7,63";"7,84";"7,75";"8,15";"8,22";"7,83";"8,77";"8,65";"8,44";"8,33";"9,32";"8,70";"9,44";"9,24";"8,52"
"09272";"Freyung-Grafenau";"Kreisregionen";"8,56";"8,36";"7,75";"7,50";"7,06";"7,26";"6,70";"6,34";"7,46";"7,11";"7,38";"7,88";"7,87";"8,21";"8,69";"8,10";"7,98";"8,42";"8,53";"8,05";"7,78"
"09273";"Kelheim";"Kreisregionen";"9,65";"9,50";"9,18";"8,94";"8,75";"9,23";"8,76";"8,61";"8,13";"8,67";"8,80";"8,84";"8,65";"10,03";"9,09";"9,99";"10,36";"9,70";"10,57";"9,52";"8,91"
"09274";"Kreis u. Stadt Landshut";"Kreisregionen";"9,24";"9,34";"9,00";"8,38";"9,08";"8,86";"8,67";"8,74";"8,38";"8,60";"8,13";"8,81";"9,40";"9,62";"9,75";"9,47";"9,39";"10,19";"10,48";"10,07";"9,14"
"09275";"Kreis u. Stadt Passau";"Kreisregionen";"8,36";"7,96";"7,76";"7,36";"7,26";"7,66";"7,32";"7,24";"7,59";"7,71";"7,68";"7,84";"7,82";"8,34";"8,09";"8,04";"8,35";"8,72";"8,79";"8,65";"7,84"
"09276";"Regen";"Kreisregionen";"8,35";"8,29";"8,36";"7,10";"7,34";"7,39";"6,74";"7,50";"6,80";"7,05";"7,37";"7,40";"8,29";"8,32";"8,87";"8,10";"8,78";"8,63";"9,10";"9,02";"8,02"
"09277";"Rottal-Inn";"Kreisregionen";"8,92";"8,78";"8,42";"8,10";"7,90";"8,31";"7,80";"7,97";"7,51";"7,94";"7,85";"8,16";"8,71";"8,68";"8,83";"8,83";"8,74";"8,91";"9,49";"9,01";"8,49"
"09278";"Straubing-Bogen/Straubing";"Kreisregionen";"8,97";"8,41";"8,59";"8,23";"8,34";"8,13";"7,88";"7,74";"7,63";"7,66";"7,93";"8,24";"8,44";"8,73";"9,18";"9,28";"9,05";"9,83";"10,22";"9,56";"8,48"
"09279";"Dingolfing-Landau";"Kreisregionen";"8,98";"8,72";"8,18";"8,42";"8,12";"8,40";"7,53";"7,87";"7,76";"7,67";"8,08";"8,45";"8,19";"8,89";"9,12";"9,48";"9,85";"9,36";"10,86";"9,36";"8,20"
