Kennziffer;Raumeinheit;Aggregat;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder
;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
"09271";"Deggendorf";"Kreisregionen";"3,20";"5,02";"6,25";"9,70";"11,21";"12,90";"14,18";"16,09";"17,49";"17,81";"16,95";"17,42";"18,55";"20,40";"21,70";"19,15";"21,97";"23,40"
"09272";"Freyung-Grafenau";"Kreisregionen";"5,53";"7,76";"12,20";"13,90";"20,40";"19,71";"19,17";"20,60";"20,42";"14,89";"15,27";"16,62";"14,30";"19,23";"22,38";"18,81";"22,45";"26,15"
"09273";"Kelheim";"Kreisregionen";"2,54";"4,45";"6,06";"7,15";"10,75";"12,55";"14,27";"16,52";"16,88";"16,49";"17,49";"18,13";"17,43";"19,49";"20,07";"19,32";"21,58";"23,46"
"09274";"Kreis u. Stadt Landshut";"Kreisregionen";"2,50";"4,33";"7,21";"10,36";"12,63";"15,06";"17,21";"18,97";"20,75";"20,78";"19,91";"21,20";"21,51";"22,29";"24,95";"22,82";"25,46";"28,41"
"09275";"Kreis u. Stadt Passau";"Kreisregionen";"7,81";"9,93";"11,24";"13,79";"17,67";"18,78";"20,95";"23,18";"23,84";"22,68";"20,93";"21,49";"21,98";"23,57";"25,11";"23,07";"25,82";"29,15"
"09276";"Regen";"Kreisregionen";"3,52";"6,56";"5,28";"7,87";"9,12";"11,48";"12,98";"15,54";"17,99";"16,41";"16,15";"16,71";"18,42";"18,00";"21,77";"18,31";"20,32";"23,73"
"09277";"Rottal-Inn";"Kreisregionen";"3,15";"4,98";"7,87";"10,10";"11,42";"13,94";"17,09";"19,32";"19,62";"17,95";"18,04";"17,25";"18,05";"19,60";"21,87";"21,87";"22,47";"25,74"
"09278";"Straubing-Bogen/Straubing";"Kreisregionen";"2,72";"3,51";"6,81";"7,96";"10,36";"12,60";"14,25";"17,33";"18,98";"17,07";"17,33";"18,20";"17,40";"19,45";"22,26";"21,27";"23,75";"27,87"
"09279";"Dingolfing-Landau";"Kreisregionen";"4,14";"6,66";"8,54";"11,65";"14,03";"15,40";"17,28";"18,29";"19,22";"19,21";"18,35";"17,61";"17,70";"16,94";"20,58";"19,97";"22,07";"23,98"
